journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
17573552,7c8e8650-4e69-4672-9a51-e956185fe71b,2023-08-20T12:50:00+02:00,2023-08-20,12:50:00,1.061,49.432,76498,76,Le Petit-Quevilly,M̩tropole Rouen Normandie,France,2023-08-20T13:00:00+02:00,2023-08-20,13:00:00,1.102,49.444,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,4948,14,NON
17574296,f0080ff6-aaa0-4267-b1da-a65322102eba,2023-08-20T12:50:00+02:00,2023-08-20,12:50:00,2.081,49.421,60057,60,Beauvais,CA du Beauvaisis,France,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,1.085,49.424,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,83124,88,NON
17573579,dfcff6d3-edc1-4d48-983d-96572305624f,2023-08-20T13:00:00+02:00,2023-08-20,13:00:00,1.069,49.449,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T13:10:00+02:00,2023-08-20,13:10:00,1.094,49.473,76451,76,Mont-Saint-Aignan,M̩tropole Rouen Normandie,France,1,C,4795,14,NON
17573702,38e68b98-2a0d-4ec9-93ab-496b073b745e,2023-08-20T13:00:00+02:00,2023-08-20,13:00:00,1.101,49.438,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T13:30:00+02:00,2023-08-20,13:30:00,1.069,49.507,76367,76,Houppeville,M̩tropole Rouen Normandie,France,1,C,17554,28,NON
17573710,2b53ad03-3585-49e0-9c16-c11583204e8f,2023-08-20T13:00:00+02:00,2023-08-20,13:00:00,0.941,49.556,76057,76,Barentin,CC Caux - Austreberthe,France,2023-08-20T13:20:00+02:00,2023-08-20,13:20:00,1.108,49.44,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,20329,20,NON
17573733,a783749a-db35-45cc-8d67-6071474731dc,2023-08-20T13:00:00+02:00,2023-08-20,13:00:00,1.076,49.451,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T13:20:00+02:00,2023-08-20,13:20:00,1.148,49.408,76429,76,Le Mesnil-Esnard,M̩tropole Rouen Normandie,France,1,C,12221,18,NON
17573760,2eaec613-6058-49da-b808-318e053f151d,2023-08-20T13:10:00+02:00,2023-08-20,13:10:00,1.038,49.512,76366,76,Le Houlme,M̩tropole Rouen Normandie,France,2023-08-20T13:30:00+02:00,2023-08-20,13:30:00,1.093,49.44,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,16714,20,NON
17573767,07c4c7f4-4b64-430c-9b89-4acffb1dde6d,2023-08-20T13:10:00+02:00,2023-08-20,13:10:00,1.053,49.478,76474,76,Notre-Dame-de-Bondeville,M̩tropole Rouen Normandie,France,2023-08-20T13:30:00+02:00,2023-08-20,13:30:00,1.09,49.43,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,16863,21,NON
17573805,e966fe67-8a48-4dde-aefe-8f76e8c2aa8a,2023-08-20T13:10:00+02:00,2023-08-20,13:10:00,1.09,49.443,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T13:40:00+02:00,2023-08-20,13:40:00,0.881,49.296,27105,27,Grand Bourgtheroulde,CC Roumois Seine,France,1,C,28286,32,NON
17573942,d7a51674-aa3c-4976-bf00-09faa6df27c7,2023-08-20T13:20:00+02:00,2023-08-20,13:20:00,1.019,49.311,76178,76,Cl̩on,M̩tropole Rouen Normandie,France,2023-08-20T14:00:00+02:00,2023-08-20,14:00:00,1.069,49.448,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,26840,33,NON
17574046,3c7d3d46-d574-4274-8f0c-22912ec452b5,2023-08-20T13:20:00+02:00,2023-08-20,13:20:00,1.082,49.446,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,0.903,49.145,27428,27,Le Neubourg,CC du Pays du Neubourg,France,1,C,46710,44,NON
17574061,3c7d3d46-d574-4274-8f0c-22912ec452b5,2023-08-20T13:20:00+02:00,2023-08-20,13:20:00,1.082,49.446,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,0.903,49.145,27428,27,Le Neubourg,CC du Pays du Neubourg,France,1,C,46710,43,NON
17574032,dda36bd6-37c5-4ef8-94a7-8252dfa7dcce,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.081,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,1.102,49.318,76682,76,Sotteville-sous-le-Val,M̩tropole Rouen Normandie,France,1,C,21141,18,NON
17574042,c459a59a-e2cc-400a-a215-7600b6227799,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.096,49.437,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,0.959,49.539,76057,76,Barentin,CC Caux - Austreberthe,France,1,C,17621,15,NON
17574043,9cfaeac0-e4c0-408e-b96d-e7ac17e9eba8,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.076,49.434,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,1.015,49.286,76165,76,Caudebec-l̬s-Elbeuf,M̩tropole Rouen Normandie,France,1,C,21837,21,NON
17574111,f1065e28-5393-4b7e-a8cc-391695db50b6,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.089,49.446,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,1.044,49.64,76066,76,Beautot,CC Terroir de Caux,France,1,C,29824,30,NON
17574161,8efc9105-72f2-46c5-ad2e-7d63c9b35d7d,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.111,49.438,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,0.769,49.628,76610,76,Sainte-Marie-des-Champs,CC Yvetot Normandie,France,1,C,39190,35,NON
17576572,09ceeaa7-2ef6-4c48-86af-bbc930e7a4e2,2023-08-20T13:50:00+02:00,2023-08-20,13:50:00,1.135,49.407,76429,76,Le Mesnil-Esnard,M̩tropole Rouen Normandie,France,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,1.099,49.437,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,B,6128,20,NON
