journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
17277395,d2a0a6fe-b8fa-4a1b-aae6-a21ca99c10d3,2023-08-01T00:40:00+02:00,2023-08-01,00:40:00,1.059,49.45,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-01T00:50:00+02:00,2023-08-01,00:50:00,1.066,49.431,76498,76,Le Petit-Quevilly,M̩tropole Rouen Normandie,France,1,C,3177,7,NON
17277418,8ed2d495-7515-4546-8cb0-19a464122142,2023-08-01T00:40:00+02:00,2023-08-01,00:40:00,1.064,49.446,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-01T01:00:00+02:00,2023-08-01,01:00:00,1.171,49.401,76475,76,Franqueville-Saint-Pierre,M̩tropole Rouen Normandie,France,1,C,13507,19,NON
17277506,d2ddd2f4-bdd5-4e81-94bc-a2974a4f5dcb,2023-08-01T01:50:00+02:00,2023-08-01,01:50:00,1.042,49.659,76721,76,Varneville-Bretteville,CC Terroir de Caux,France,2023-08-01T02:10:00+02:00,2023-08-01,02:10:00,1.062,49.451,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,30093,19,NON
17277507,d2ddd2f4-bdd5-4e81-94bc-a2974a4f5dcb,2023-08-01T01:50:00+02:00,2023-08-01,01:50:00,1.042,49.659,76721,76,Varneville-Bretteville,CC Terroir de Caux,France,2023-08-01T02:10:00+02:00,2023-08-01,02:10:00,1.062,49.451,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,30093,19,NON
17277546,74fe92cd-c8c8-4e75-89ab-89408f3e2ffd,2023-08-01T02:20:00+02:00,2023-08-01,02:20:00,1.139,49.412,76429,76,Le Mesnil-Esnard,M̩tropole Rouen Normandie,France,2023-08-01T02:30:00+02:00,2023-08-01,02:30:00,1.088,49.439,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,5667,15,NON
17277875,0a5d78f0-ef23-4824-9c6f-e0e0d91d8af0,2023-08-01T03:30:00+02:00,2023-08-01,03:30:00,1.09,49.448,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-01T03:50:00+02:00,2023-08-01,03:50:00,1.141,49.498,76377,76,Isneauville,M̩tropole Rouen Normandie,France,1,C,9812,19,NON
17278265,b39ed579-c82b-4fdd-bc7e-32c8c245bd0d,2023-08-01T04:30:00+02:00,2023-08-01,04:30:00,1.069,49.439,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-01T05:00:00+02:00,2023-08-01,05:00:00,0.795,49.481,76709,76,Le Trait,M̩tropole Rouen Normandie,France,1,C,28018,27,NON
17278370,aa851fa6-5b68-4ca8-a9ad-34f2b43d1fae,2023-08-01T05:10:00+02:00,2023-08-01,05:10:00,1.036,49.423,76322,76,Le Grand-Quevilly,M̩tropole Rouen Normandie,France,2023-08-01T05:30:00+02:00,2023-08-01,05:30:00,1.132,49.434,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,9525,20,NON
17278565,1ae3503e-c236-41cc-8944-908423e3bf60,2023-08-01T05:20:00+02:00,2023-08-01,05:20:00,0.82,49.563,76160,76,Carville-la-Folleti̬re,CC Yvetot Normandie,France,2023-08-01T05:50:00+02:00,2023-08-01,05:50:00,1.08,49.434,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,28054,31,NON
17278635,38a63869-d37c-4a94-b684-8916858446b8,2023-08-01T05:20:00+02:00,2023-08-01,05:20:00,0.85,49.361,27091,27,Bosgouet,CC Roumois Seine,France,2023-08-01T06:00:00+02:00,2023-08-01,06:00:00,1.107,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,30278,39,NON
17285072,38a63869-d37c-4a94-b684-8916858446b8,2023-08-01T05:20:00+02:00,2023-08-01,05:20:00,0.85,49.361,27091,27,Bosgouet,CC Roumois Seine,France,2023-08-01T06:10:00+02:00,2023-08-01,06:10:00,1.106,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,B,30044,43,NON
17278573,1ae3503e-c236-41cc-8944-908423e3bf60,2023-08-01T05:20:00+02:00,2023-08-01,05:20:00,0.82,49.563,76160,76,Carville-la-Folleti̬re,CC Yvetot Normandie,France,2023-08-01T06:00:00+02:00,2023-08-01,06:00:00,1.08,49.434,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,28054,40,NON
17299198,57812c02-1147-4f91-83c5-d558162d6927,2023-08-01T05:30:00+02:00,2023-08-01,05:30:00,0.839,49.353,27091,27,Bosgouet,CC Roumois Seine,France,2023-08-01T06:00:00+02:00,2023-08-01,06:00:00,1.112,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,31445,32,NON
17299197,57812c02-1147-4f91-83c5-d558162d6927,2023-08-01T05:30:00+02:00,2023-08-01,05:30:00,0.839,49.353,27091,27,Bosgouet,CC Roumois Seine,France,2023-08-01T06:00:00+02:00,2023-08-01,06:00:00,1.107,49.44,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,31786,30,NON
17278746,82faf4ad-47cb-478e-b0fb-b13543478085,2023-08-01T05:40:00+02:00,2023-08-01,05:40:00,1.275,49.389,76434,76,Mesnil-Raoul,CC Inter-Caux-Vexin,France,2023-08-01T06:10:00+02:00,2023-08-01,06:10:00,1.106,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,14828,21,NON
